Student_ID	Feedback
S00001	The classes are very interesting and easy to understand.
S00002	Faculty explains every topic clearly.
S00003	I enjoy attending practical sessions.
S00004	The attendance system works well.
S00005	Teaching quality is excellent.
S00006	The assignments are useful for learning.
S00007	The classes are boring sometimes.
S00008	Too many assignments are given.
S00009	Attendance marking is sometimes incorrect.
S00010	The faculty is supportive and friendly.
S00011	The timetable is difficult to follow.
S00012	Practical sessions are very helpful.
S00013	I am satisfied with the teaching methods.
S00014	The classroom environment is noisy.
S00015	Attendance tracking is accurate.
S00016	I need more practical examples in class.
S00017	Faculty motivates students to learn.
S00018	The attendance portal is slow sometimes.
S00019	The learning materials are excellent.
S00020	Overall I am happy with the course.
